SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
19K158,P.S. 158 WARWICK,12/12/2024 12:00:00 AM,89.12
19K159,P.S. 159 ISAAC PITKIN,12/12/2024 12:00:00 AM,88.78
19K171,I.S. 171 ABRAHAM LINCOLN,12/12/2024 12:00:00 AM,89.96
19K190,P.S. 190 SHEFFIELD,12/12/2024 12:00:00 AM,81.9
19K202,P.S. 202 ERNEST S. JENKYNS,12/12/2024 12:00:00 AM,90.43
19K213,P.S. 213 NEW LOTS,12/12/2024 12:00:00 AM,84.76
19K214,P.S. 214 MICHAEL FRIEDSAM,12/12/2024 12:00:00 AM,92.48
19K218,J.H.S. 218 JAMES P. SINNOTT,12/12/2024 12:00:00 AM,86.83
19K224,P.S. 224 HALE A. WOODRUFF,12/12/2024 12:00:00 AM,86.64
19K273,P.S. 273 WORTMAN,12/12/2024 12:00:00 AM,85.06
19K290,P.S. 290 JUAN MOREL CAMPOS,12/12/2024 12:00:00 AM,90.08
19K292,J.H.S. 292 MARGARET S. DOUGLAS,12/12/2024 12:00:00 AM,89.13
19K306,P.S. 306 ETHAN ALLEN,12/12/2024 12:00:00 AM,91.01
19K325,THE FRESH CREEK SCHOOL,12/12/2024 12:00:00 AM,90.77
19K328,P.S. 328 PHYLLIS WHEATLEY,12/12/2024 12:00:00 AM,87.83
19K345,P.S. 345 PATROLMAN ROBERT BOLDEN,12/12/2024 12:00:00 AM,91.31
19K346,P.S. 346 ABE STARK,12/12/2024 12:00:00 AM,88.8
19K404,ACADEMY FOR YOUNG WRITERS,12/12/2024 12:00:00 AM,85.78
19K409,EAST NEW YORK FAMILY ACADEMY,12/12/2024 12:00:00 AM,89.23
19K422,SPRING CREEK COMMUNITY SCHOOL,12/12/2024 12:00:00 AM,87.5
19K452,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,12/12/2024 12:00:00 AM,93.11
19K502,FDNY CAPTAIN VERNON A. RICHARD HIGH SCHOOL FOR F,12/12/2024 12:00:00 AM,66.42
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,12/12/2024 12:00:00 AM,58.59
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHO,12/12/2024 12:00:00 AM,75
19K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,12/12/2024 12:00:00 AM,90.78
19K583,MULTICULTURAL HIGH SCHOOL,12/12/2024 12:00:00 AM,92.52
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,12/12/2024 12:00:00 AM,75.86
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,12/12/2024 12:00:00 AM,88.67
19K639,BROOKLYN LAB SCHOOL,12/12/2024 12:00:00 AM,76.61
19K654,VAN SICLEN COMMUNITY MIDDLE SCHOOL,12/12/2024 12:00:00 AM,90.44
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,12/12/2024 12:00:00 AM,78.97
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH,12/12/2024 12:00:00 AM,69.65
19K661,VISTA ACADEMY,12/12/2024 12:00:00 AM,92.2
19K662,LIBERTY AVENUE MIDDLE SCHOOL,12/12/2024 12:00:00 AM,93.15
19K663,SCHOOL OF THE FUTURE BROOKLYN,12/12/2024 12:00:00 AM,93.96
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,12/12/2024 12:00:00 AM,90.39
19K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,12/12/2024 12:00:00 AM,94.93
19K683,SCHOOL FOR CLASSICS HIGH SCHOOL,12/12/2024 12:00:00 AM,66.57
19K760,HIGHLAND PARK COMMUNITY SCHOOL,12/12/2024 12:00:00 AM,95.98
19K764,THE URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTH,12/12/2024 12:00:00 AM,90.93
19K907,LEGACY SCHOOL OF THE ARTS,12/12/2024 12:00:00 AM,90.9
19K935,M.S. 935,12/12/2024 12:00:00 AM,93.85
19K938,P.S. 938,12/12/2024 12:00:00 AM,92.27
19K953,THE EAST NEW YORK ARTS AND CIVICS HIGH SCHOOL,12/12/2024 12:00:00 AM,81.67
19K965,BARD HIGH SCHOOL EARLY COLLEGE BROOKLYN,12/12/2024 12:00:00 AM,95.17
20K030,P.S. I.S. 30 MARY WHITE OVINGTON,12/12/2024 12:00:00 AM,94.11
20K048,P.S. 048 MAPLETON,12/12/2024 12:00:00 AM,93.07
20K062,J.H.S. 062 DITMAS,12/12/2024 12:00:00 AM,91.47
20K069,P.S. 69 VINCENT D. GRIPPO SCHOOL,12/12/2024 12:00:00 AM,93.14
20K102,P.S. 102 THE BAYVIEW,12/12/2024 12:00:00 AM,94.67
20K104,P.S. I.S. 104 THE FORT HAMILTON SCHOOL,12/12/2024 12:00:00 AM,92.57
20K105,P.S. 105 THE BLYTHEBOURNE,12/12/2024 12:00:00 AM,98.02
20K112,P.S. 112 LEFFERTS PARK,12/12/2024 12:00:00 AM,94.2
20K127,P.S. 127 MCKINLEY PARK,12/12/2024 12:00:00 AM,86.7
20K160,P.S. 160 WILLIAM T. SAMPSON,12/12/2024 12:00:00 AM,97.31
20K163,P.S. 163 BATH BEACH,12/12/2024 12:00:00 AM,91.53
20K164,P.S. 164 CAESAR RODNEY,12/12/2024 12:00:00 AM,92.43
20K170,RALPH A. FABRIZIO SCHOOL,12/12/2024 12:00:00 AM,95.08
20K176,P.S. 176 OVINGTON,12/12/2024 12:00:00 AM,92.27
20K179,P.S. 179 KENSINGTON,12/12/2024 12:00:00 AM,93.3
20K180,THE SEEALL ACADEMY,12/12/2024 12:00:00 AM,94.14
20K185,P.S. 185 WALTER KASSENBROCK,12/12/2024 12:00:00 AM,95.31
20K186,P.S. 186 DR. IRVING A GLADSTONE,12/12/2024 12:00:00 AM,93.03
20K187,THE CHRISTA MCAULIFFE SCHOOL I.S. 187,12/12/2024 12:00:00 AM,97.16
20K192,P.S. 192 THE MAGNET SCHOOL FOR MATH AND SCIENCE,12/12/2024 12:00:00 AM,91.77
20K200,P.S. 200 BENSON SCHOOL,12/12/2024 12:00:00 AM,92.42
20K201,THE MADELEINE BRENNAN SCHOOL,12/12/2024 12:00:00 AM,94.1
20K204,P.S. 204 VINCE LOMBARDI,12/12/2024 12:00:00 AM,94.23
20K205,P.S. 205 CLARION,12/12/2024 12:00:00 AM,93.76
20K220,J.H.S. 220 JOHN J. PERSHING,12/12/2024 12:00:00 AM,95.99
20K223,J.H.S. 223 THE MONTAUK,12/12/2024 12:00:00 AM,91.55
20K227,J.H.S. 227 EDWARD B. SHALLOW,12/12/2024 12:00:00 AM,93.07
20K229,P.S. 229 DYKER,12/12/2024 12:00:00 AM,95.18
20K247,P.S. 247 BROOKLYN,12/12/2024 12:00:00 AM,93.5
20K259,J.H.S. 259 WILLIAM MCKINLEY,12/12/2024 12:00:00 AM,95.17
20K264,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,12/12/2024 12:00:00 AM,91.05
20K310,THE SCHOOL FOR FUTURE LEADERS,12/12/2024 12:00:00 AM,98.7
20K331,THE DETECTIVE WENJIAN LIU SCHOOL OF CIVICS AND ENT,12/12/2024 12:00:00 AM,96.77
20K407,"SCHOOL OF TECHNOLOGY, ARTS, AND RESEARCH",12/12/2024 12:00:00 AM,98.27
20K413,JOANNE SEMINARA SCHOOL OF LAW AND MEDICINE,12/12/2024 12:00:00 AM,88
20K445,NEW UTRECHT HIGH SCHOOL,12/12/2024 12:00:00 AM,85.08
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLO,12/12/2024 12:00:00 AM,87.03
20K490,FORT HAMILTON HIGH SCHOOL,12/12/2024 12:00:00 AM,85.57
20K503,P.S. 503: THE SCHOOL OF DISCOVERY,12/12/2024 12:00:00 AM,92.71
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,12/12/2024 12:00:00 AM,78.99
20K506,P.S. 506: THE SCHOOL OF JOURNALISM TECHNOLOGY,12/12/2024 12:00:00 AM,91.76
20K609,URBAN ASSEMBLY SCHOOL FOR LEADERSHIP AND EMPOWERME,12/12/2024 12:00:00 AM,92.97
20K682,THE ACADEMY OF TALENTED SCHOLARS,12/12/2024 12:00:00 AM,92.76
20K686,BROOKLYN SCHOOL OF INQUIRY,12/12/2024 12:00:00 AM,96.19
20K748,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,12/12/2024 12:00:00 AM,81.13
20K768,DISTRICT 20 PRE K CENTER,12/12/2024 12:00:00 AM,79.17
20K936,MS 936 ARTS OFF 3RD,12/12/2024 12:00:00 AM,93.87
20K939,SUNSET SCHOOL OF CULTURAL LEARNING,12/12/2024 12:00:00 AM,94.79
20K971,"SCHOOL OF MATH, SCIENCE, AND HEALTHY LIVING",12/12/2024 12:00:00 AM,92.26
21K090,P.S. 90 EDNA COHEN SCHOOL,12/12/2024 12:00:00 AM,82.19
21K095,P.S. 095 THE GRAVESEND,12/12/2024 12:00:00 AM,91.95
21K096,I.S. 096 SETH LOW,12/12/2024 12:00:00 AM,92.89
21K097,P.S. 97 THE HIGHLAWN,12/12/2024 12:00:00 AM,92.46
21K098,I.S. 98 BAY ACADEMY,12/12/2024 12:00:00 AM,93.23
21K099,P.S. 099 ISAAC ASIMOV,12/12/2024 12:00:00 AM,89.81
21K100,P.S. 100 THE CONEY ISLAND SCHOOL,12/12/2024 12:00:00 AM,91.11
21K101,P.S. 101 THE VERRAZANO,12/12/2024 12:00:00 AM,94.58
21K121,P.S. 121 NELSON A. ROCKEFELLER,12/12/2024 12:00:00 AM,93.26
21K128,P.S. 128 BENSONHURST,12/12/2024 12:00:00 AM,95.27
21K153,P.S. 153 HOMECREST,12/12/2024 12:00:00 AM,94.1
21K177,P.S. 177 THE MARLBORO,12/12/2024 12:00:00 AM,93.62
21K188,P.S. 188 MICHAEL E. BERDY,12/12/2024 12:00:00 AM,90.71
21K199,P.S. 199 FREDERICK WACHTEL,12/12/2024 12:00:00 AM,88.44
21K209,P.S. 209 MARGARET MEAD,12/12/2024 12:00:00 AM,92.11
21K212,P.S. 212 LADY DEBORAH MOODY,12/12/2024 12:00:00 AM,90.65
21K215,P.S. 215 MORRIS H. WEISS,12/12/2024 12:00:00 AM,89.21
21K216,P.S. 216 ARTURO TOSCANINI,12/12/2024 12:00:00 AM,91.27
21K225,P.S. K225 THE EILEEN E. ZAGLIN,12/12/2024 12:00:00 AM,87.86
21K226,P.S. 226 ALFRED DE B. MASON,12/12/2024 12:00:00 AM,95.26
21K228,I.S. 228 DAVID A. BOODY,12/12/2024 12:00:00 AM,93.41
21K238,P.S. 238 ANNE SULLIVAN,12/12/2024 12:00:00 AM,88.08
21K239,MARK TWAIN I.S. 239 FOR THE GIFTED TALENTED,12/12/2024 12:00:00 AM,95.11
21K253,P.S. 253,12/12/2024 12:00:00 AM,90.5
21K281,I.S. 281 JOSEPH B CAVALLARO,12/12/2024 12:00:00 AM,93.26
21K288,P.S. 288 THE SHIRLEY TANYHILL,12/12/2024 12:00:00 AM,82.59
21K303,I.S. 303 HERBERT S. EISENBERG,12/12/2024 12:00:00 AM,91.95
21K329,P.S. 329 SURFSIDE,12/12/2024 12:00:00 AM,85.71
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,12/12/2024 12:00:00 AM,82.51
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,12/12/2024 12:00:00 AM,85.41
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,12/12/2024 12:00:00 AM,77.72
21K410,ABRAHAM LINCOLN HIGH SCHOOL,12/12/2024 12:00:00 AM,81.71
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,12/12/2024 12:00:00 AM,86.22
21K525,EDWARD R. MURROW HIGH SCHOOL,12/12/2024 12:00:00 AM,83.24
21K540,JOHN DEWEY HIGH SCHOOL,12/12/2024 12:00:00 AM,82.63
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,12/12/2024 12:00:00 AM,77.29
21K572,LEADERS HIGH SCHOOL,12/12/2024 12:00:00 AM,86.26
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HI,12/12/2024 12:00:00 AM,81.86
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,12/12/2024 12:00:00 AM,88.36
21K728,LIBERATION DIPLOMA PLUS,12/12/2024 12:00:00 AM,NS
21K840,BROOKLYN S DAILY DISCOVERY PRE K CENTER,12/12/2024 12:00:00 AM,85.71
22K014,J.H.S. 014 SHELL BANK,12/12/2024 12:00:00 AM,89.97
22K052,P.S. 052 SHEEPSHEAD BAY,12/12/2024 12:00:00 AM,91.71
22K078,J.H.S. 078 ROY H. MANN,12/12/2024 12:00:00 AM,92.59
22K109,P.S. 109,12/12/2024 12:00:00 AM,87.88
22K119,P.S. 119 AMERSFORT,12/12/2024 12:00:00 AM,89.9
22K134,P.S. K134,12/12/2024 12:00:00 AM,92.84
22K139,P.S. 139 ALEXINE A. FENTY,12/12/2024 12:00:00 AM,87.74
22K152,SCHOOL OF SCIENCE TECHNOLOGY,12/12/2024 12:00:00 AM,84.53
22K193,P.S. 193 GIL HODGES,12/12/2024 12:00:00 AM,88.75
22K194,P.S. 194 RAOUL WALLENBERG,12/12/2024 12:00:00 AM,88.55
22K195,P.S. 195 MANHATTAN BEACH,12/12/2024 12:00:00 AM,91.07
22K197,P.S. 197 THE KINGS HIGHWAY ACADEMY,12/12/2024 12:00:00 AM,89.66
22K198,P.S. 198 BROOKLYN,12/12/2024 12:00:00 AM,86.98
22K203,P.S. 203 FLOYD BENNETT SCHOOL,12/12/2024 12:00:00 AM,85.23
22K206,P.S. 206 JOSEPH F LAMB,12/12/2024 12:00:00 AM,93.75
22K207,P.S. 207 ELIZABETH G. LEARY,12/12/2024 12:00:00 AM,92.61
22K217,P.S. 217 COLONEL DAVID MARCUS SCHOOL,12/12/2024 12:00:00 AM,91.88
22K222,P.S. 222 KATHERINE R. SNYDER,12/12/2024 12:00:00 AM,93.46
22K234,J.H.S. 234 ARTHUR W. CUNNINGHAM,12/12/2024 12:00:00 AM,92.76
22K236,P.S. 236 MILL BASIN,12/12/2024 12:00:00 AM,92.88
22K240,ANDRIES HUDDE,12/12/2024 12:00:00 AM,90.02
22K245,P.S. 245,12/12/2024 12:00:00 AM,91.7
22K251,P.S. 251 PAERDEGAT,12/12/2024 12:00:00 AM,87.94
22K254,P.S. 254 DAG HAMMARSKJOLD,12/12/2024 12:00:00 AM,90.52
22K255,P.S. 255 BARBARA REING SCHOOL,12/12/2024 12:00:00 AM,89.12
22K277,P.S. 277 GERRITSEN BEACH,12/12/2024 12:00:00 AM,97.55
22K278,J.H.S. 278 MARINE PARK,12/12/2024 12:00:00 AM,83.33
22K312,P.S. 312 BERGEN BEACH,12/12/2024 12:00:00 AM,88.63
22K315,P.S. K315,12/12/2024 12:00:00 AM,89.57
22K326,P.S. 326,12/12/2024 12:00:00 AM,95.87
22K361,P.S. 361 EAST FLATBUSH EARLY CHILDHOOD SCHOOL,12/12/2024 12:00:00 AM,91.94
22K381,I. S. 381,12/12/2024 12:00:00 AM,89.38
22K405,MIDWOOD HIGH SCHOOL,12/12/2024 12:00:00 AM,92.33
22K425,JAMES MADISON HIGH SCHOOL,12/12/2024 12:00:00 AM,86.53
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,12/12/2024 12:00:00 AM,90.89
22K555,BROOKLYN COLLEGE ACADEMY,12/12/2024 12:00:00 AM,96.84
22K611,ORIGINS HIGH SCHOOL,12/12/2024 12:00:00 AM,75.96
22K630,PROFESSIONAL PATHWAYS HIGH SCHOOL,12/12/2024 12:00:00 AM,60.4
22K853,THE JOAN SNOW PRE K CENTER,12/12/2024 12:00:00 AM,78.33
22K889,P.S. 889,12/12/2024 12:00:00 AM,91.7
22K890,M.S. 890,12/12/2024 12:00:00 AM,93.43
23K041,P.S. 041 FRANCIS WHITE,12/12/2024 12:00:00 AM,94.47
23K137,P.S. 137 RACHEL JEAN MITCHELL,12/12/2024 12:00:00 AM,88.88
23K150,P.S. 150 CHRISTOPHER,12/12/2024 12:00:00 AM,86.73
23K155,P.S. I.S. 155 NICHOLAS HERKIMER,12/12/2024 12:00:00 AM,85.32
23K156,P.S. 156 WAVERLY,12/12/2024 12:00:00 AM,92.18
23K165,P.S. 165 IDA POSNER,12/12/2024 12:00:00 AM,83.41
23K178,P.S. 178 SAINT CLAIR MCKELWAY,12/12/2024 12:00:00 AM,88.21
23K184,P.S. 184 NEWPORT,12/12/2024 12:00:00 AM,87.53
23K284,"THE GREGORY JOCKO JACKSON SCHOOL OF SPORTS, ART, A",12/12/2024 12:00:00 AM,87.79
23K298,P.S. 298 DR. BETTY SHABAZZ,12/12/2024 12:00:00 AM,75.58
23K323,P.S. I.S. 323,12/12/2024 12:00:00 AM,85.8
23K327,P.S. 327 DR. ROSE B. ENGLISH,12/12/2024 12:00:00 AM,87.35
23K363,BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,12/12/2024 12:00:00 AM,86.84
23K392,I.S. 392,12/12/2024 12:00:00 AM,95.39
23K401,CHRISTOPHER AVENUE COMMUNITY SCHOOL,12/12/2024 12:00:00 AM,89.21
23K446,RIVERDALE AVENUE COMMUNITY SCHOOL,12/12/2024 12:00:00 AM,89.7
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,12/12/2024 12:00:00 AM,80.27
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,12/12/2024 12:00:00 AM,88.56
23K518,KAPPA V KNOWLEDGE AND POWER PREPARATORY ACADEMY,12/12/2024 12:00:00 AM,91.2
23K522,MOTT HALL IV,12/12/2024 12:00:00 AM,89.9
23K599,BROOKLYN LANDMARK ELEMENTARY SCHOOL,12/12/2024 12:00:00 AM,91.19
23K643,BROOKLYN DEMOCRACY ACADEMY,12/12/2024 12:00:00 AM,54.4
23K644,EAGLE ACADEMY FOR YOUNG MEN II,12/12/2024 12:00:00 AM,95.29
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,12/12/2024 12:00:00 AM,53.14
23K664,BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL BEES,12/12/2024 12:00:00 AM,87.58
23K668,RIVERDALE AVENUE MIDDLE SCHOOL,12/12/2024 12:00:00 AM,96.19
23K671,MOTT HALL BRIDGES ACADEMY,12/12/2024 12:00:00 AM,91.7
23K697,TEACHERS PREPARATORY HIGH SCHOOL,12/12/2024 12:00:00 AM,80.81
24Q005,I.S. 5 THE WALTER CROWLEY INTERMEDIATE SCHOOL,12/12/2024 12:00:00 AM,91.88
24Q007,P.S. 007 LOUIS F. SIMEONE,12/12/2024 12:00:00 AM,92.21
24Q012,P.S. 012 JAMES B. COLGATE,12/12/2024 12:00:00 AM,93
24Q013,P.S. 013 CLEMENT C. MOORE,12/12/2024 12:00:00 AM,91.78
24Q014,P.S. 014 FAIRVIEW,12/12/2024 12:00:00 AM,91.99
24Q016,P.S. Q016 THE NANCY DEBENEDITTIS SCHOOL,12/12/2024 12:00:00 AM,92.99
24Q019,P.S. 019 MARINO JEANTET,12/12/2024 12:00:00 AM,94.36
24Q028,P.S. 28 THE THOMAS EMANUEL EARLY CHILDHOOD CENTE,12/12/2024 12:00:00 AM,93.51
24Q058,P.S. 58 THE SCHOOL OF HEROES,12/12/2024 12:00:00 AM,93.54
24Q061,I.S. 061 LEONARDO DA VINCI,12/12/2024 12:00:00 AM,93.7
24Q068,P.S. 068 CAMBRIDGE,12/12/2024 12:00:00 AM,92.59
24Q071,P.S. 071 FOREST,12/12/2024 12:00:00 AM,90.62
24Q073,I.S. 73 THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,12/12/2024 12:00:00 AM,93.07
24Q077,JOSEPH F. QUINN INTERMEDIATE SCHOOL 77,12/12/2024 12:00:00 AM,92.06
24Q081,P.S. 81Q JEAN PAUL RICHTER,12/12/2024 12:00:00 AM,89.56
24Q087,P.S. I.S. 087 MIDDLE VILLAGE,12/12/2024 12:00:00 AM,67.58
24Q088,P.S. 088 SENECA,12/12/2024 12:00:00 AM,90.92
24Q089,P.S. 89Q: THE JOSE PERALTA SCHOOL OF DREAMERS,12/12/2024 12:00:00 AM,91.62
24Q091,P.S. 091 RICHARD ARKWRIGHT,12/12/2024 12:00:00 AM,89.6
24Q093,I.S. 093 RIDGEWOOD,12/12/2024 12:00:00 AM,91.98
24Q102,P.S. 102 BAYVIEW,12/12/2024 12:00:00 AM,93.35
24Q110,P.S. 110,12/12/2024 12:00:00 AM,93.56
24Q113,P.S. I.S. 113 ANTHONY J. PRANZO,12/12/2024 12:00:00 AM,95.97
24Q119,P.S. I.S. 119 THE GLENDALE,12/12/2024 12:00:00 AM,93.67
24Q125,I.S. 125 THOM J. MCCANN WOODSIDE,12/12/2024 12:00:00 AM,91.54
24Q128,"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMEN",12/12/2024 12:00:00 AM,94.62
24Q143,P.S. 143 LOUIS ARMSTRONG,12/12/2024 12:00:00 AM,91.36
24Q153,P.S. 153 MASPETH ELEM,12/12/2024 12:00:00 AM,93.42
24Q199,P.S. 199 MAURICE A. FITZGERALD,12/12/2024 12:00:00 AM,88.43
24Q211,ELM TREE ELEMENTARY SCHOOL,12/12/2024 12:00:00 AM,92.79
24Q229,P.S. 229 EMANUEL KAPLAN,12/12/2024 12:00:00 AM,91.16
24Q236,INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES,12/12/2024 12:00:00 AM,93.63
24Q239,P.S. 239,12/12/2024 12:00:00 AM,92
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,12/12/2024 12:00:00 AM,88.13
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,12/12/2024 12:00:00 AM,85.06
24Q290,A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRA,12/12/2024 12:00:00 AM,93.82
24Q293,CIVIC LEADERSHIP ACADEMY,12/12/2024 12:00:00 AM,89.34
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,12/12/2024 12:00:00 AM,90.11
24Q299,BARD HIGH SCHOOL EARLY COLLEGE QUEENS,12/12/2024 12:00:00 AM,96.31
24Q305,LEARNERS AND LEADERS,12/12/2024 12:00:00 AM,88.78
24Q307,PIONEER ACADEMY,12/12/2024 12:00:00 AM,92.94
24Q311,CORONA ARTS SCIENCES ACADEMY,12/12/2024 12:00:00 AM,91.9
24Q330,HELEN M. MARSHALL SCHOOL,12/12/2024 12:00:00 AM,90.59
24Q331,MOSAIC PRE K CENTER,12/12/2024 12:00:00 AM,79.52
24Q343,THE CHILDREN S LAB SCHOOL,12/12/2024 12:00:00 AM,93.53
24Q419,MS 419,12/12/2024 12:00:00 AM,91.26
